"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"88","09","CR","0920002","","","","","88","09","CR","0920002","","","88","09","26","2","10","PM","12","0","0","0","0","CHICAGO","ELKHART","423.0","18","73","2","1","008","E","7590","4","980","7","Y","#22 CLASS (ELKHART)","1","","2","ETTX","902121","008","Y","","","","","2","0","0","0","0","0","0","0","0","0","5","0","16","0","0","0","0","1","0","0","500","50","M407","","0","0","0","0","M407","2","1","008","8050","","18C039","0","000000","0","1","0","1","1","08","00","08","00","1","4","E","1L","0","CHICAG","N","205","","1988","0","0","0","0","0","0","ELKHART","039","","","","N","","","INACCURATE ROLLING RESISTANT CLASSIFICATION ON HOKX 111179 CAUSED CAR TO ROLL PARTY THROUGH INERT RE","TARDER. THE FOLLOWING DOUBLE CAR CUT STRUCK CAR BUMPING IT OUT OF INERT.NO PRIMARY CAUSE CODE AVAILA","BLE.","","","","","","","","","","","","","","","","","","","","","",
"88","09","CR","0920002","","","","","88","09","CR","0920002","","","88","09","26","2","10","PM","12","0","0","0","0","CHICAGO","ELKHART","423.0","18","73","2","1","004","E","4","","0","6","N","#20 CLASS (ELKHART)","1","","2","HOKX","111179","001","N","","","","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","7500","0","M407","","0","0","0","0","M407","2","1","008","8050","","18C039","0","000000","0","0","0","0","0","","","","","3","4","E","1L","0","CHICAG","N","206","","1988","0","0","0","0","0","0","ELKHART","039","","","","N","","","INACCURATE ROLLING RESISTANT CLASSIFICATION HOKX 111179 CAUSED CAR TO ROLL PARTLY THROUGH INERT RETA","RDER. THE FOLLOWING DOUBLE CAR CUT STRUCK CAR BUMPING IT OUT OF THE INERT.NO PRIMARY CAUSE CODE AVAI","LABLE.","","","","","","","","","","","","","","","","","","","","","",
"88","09","CR","0930001","","","","","88","09","CR","0930001","","","88","09","05","2","0","PM","01","0","0","0","0","CLEVELAND","ASHTABULA",".2","39","60","2","2","006","E","8147","2","3100","7","Y","PINNEY,L.ASHTABULA H","1","","2","CR","478275","003","Y","","","","","2","0","0","0","0","0","0","0","0","0","25","0","0","0","0","6","0","0","0","0","900","7000","T299","","0","0","0","0","T299","2","1","006","7900","","39C007","0","000000","0","1","0","1","1","07","30","07","30","1","2","E","1L","0","CLEVEL","N","41","","1988","0","0","0","0","0","0","ASHTABULA","007","","","","N","","","ORDINARY BREAK IN RAIL. BROKEN 105# RAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"88","09","CR","0930002","","","","","88","09","CR","0930002","","","88","09","29","5","4","PM","01","0","0","0","0","CLEVELAND","CLEVELAND","114.4","39","72","2","2","014","E","LP19","3","12868","1","Y","#1 MAIN","3","0106.4","1","CR","242316","011","N","CR","242780","011","N","5","0","0","0","0","0","0","0","0","0","4","0","31","0","0","0","0","2","0","0","1900","3500","E36C","","0","0","0","0","E36C","1","3","014","5400","","39C035","0","000000","0","1","0","1","1","07","06","07","06","1","2","E","1L","0","CLEVEL","E","59","","1988","0","0","0","0","0","0","CUYAHOGA","035","","","","N","","","COUPLER SHANK BROKEN ON CR 242780 CAUSING 2 CARS TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"88","09","CR","0930003","88","09","CSX","098823001","88","09","CR","0930003","","","88","09","03","4","0","AM","01","0","0","0","0","CLEVELAND","LAMBERT","18.02","39","60","4","","000","","","","0","","","#1 MAIN AKRON BRANCH","3","0048.8","1","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000","M401","","0","0","0","0","M401","1","4","025","88400","","39C153","0","000000","0","","","","","","","","","1","2","E","1L","0","CLEVEL","G","95","","1988","0","0","0","0","0","0","SUMMIT","153","","","","N","","","CSX TRAIN DERAILED 8 CARS ON CR TRACK DUE TO EMERGENCY APPLICATION OF BRAKES TO AVOID ACCIDENT.","","","","","","","","","","","","","","","","","","","","","","","",
"88","09","CSX","098823001","","","","","88","09","CR","0930003","","","88","09","03","4","0","AM","01","0","0","0","0","DETROIT","LAMBERT","00181","39","68","4","3","025","E","7601","1","9393","1","Y","MAIN","4","0049.7","1","MKT","011936","034","Y","","","","","2","0","0","0","0","0","0","0","0","0","111","0","5","0","0","8","0","0","0","0","82400","0","M401","","0","0","0","0","M401","1","4","025","88400","","39C153","0","000000","0","1","0","1","2","03","15","03","15","2","2","","1L","0","DETROI","G","51","","1988","0","0","0","0","0","0","SUMMIT","153","","","","N","","","PUT TRAIN IN EMERGENCY TO AVOID HITTING AUTOMOBILE.","","","","","","","","","","","","","","","","","","","","","","","",
"88","12","PTRA","DEC0188","","","","","88","12","ZLDC","INDUSTRY","","","88","12","07","8","0","PM","01","0","0","0","0","SYSTEM","ARCO","6.4","48","68","4","1","004","E","0258","2","0","7","Y","LYONDELL TRACK 663","1","","4","ACFX","079504","004","Y","","","","","1","0","0","0","0","0","0","0","0","0","7","0","5","0","0","1","0","1","0","0","6400","500","T108","","0","0","0","0","T108","4","1","004","6900","","48C201","0","000000","0","1","0","1","1","04","01","04","01","1","5","","3S","0","SYSTEM","N","251","","1988","0","0","0","0","0","0","HARRIS","201","","","","N","","","JOB 258 WAS SHOVING TRACK 663 WHEN 4TH CAR FROM ENGINE DERAILED IN CURVE, PULLING TRAILING CAR OFF W","ITH IT. TRACK HAD BEEN REWORKED BY PRIVATE CONTRACTOR WHO INSTALLED USED RAIL WITH WORN BALL OF RAIL","ON INSIDE OF CURVE, CAUSING MISMATCH OF RAIL HEADS.","","","","","","","","","","","","","","","","","","","","","",
"88","12","UP","1288UT006","","","","","88","12","UP","1288UT006","","806901C","88","12","12","2","15","PM","07","0","0","0","0","UTAH","SPRINGVILLE","7.4","49","40","2","1","045","E","12","3","9033","1","Y","MAIN LINE","4","0000.4","1","UP","003689","001","","","","","","4","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","8000","0","M399","","1","0","1","0","M399","1","4","045","8000","","49C049","0","000000","0","1","0","1","2","11","30","11","30","1","7","W","1L","0","UTAH","E","127","","1988","0","0","0","0","1","0","UTAH","049","","","","N","","","CROSSING ACCIDENT - VEHICLE DID NOT STOP AND HIT UNIT UP 3689, HEAD UNIT, UNDER THE ENGINEER'S WINDO","W. DRIVER KILLED ON IMPACT.","","","","","","","","","","","","","","","","","","","","","","",
"88","12","UP","1288UT206","","","","","88","12","UP","1288UT206","R060","","88","12","03","6","50","PM","01","0","0","0","0","UTAH","SALT LAKE CITY","7.8","49","27","4","2","005","E","02","3","3200","1","Y","EAST TRAMP LEAD","2","","2","UP","045006","076","N","","","","","2","0","0","0","0","0","0","0","0","0","0","0","103","0","0","0","0","2","0","0","5900","0","H702","","0","0","0","0","H702","2","2","005","5900","","49C035","0","000000","0","1","0","1","2","01","20","01","20","1","7","W","1L","0","UTAH","N","157","","1988","0","0","0","0","0","0","SALT LAKE","035","00","00","","N","","","CREW SETTING OUT B/O IN E-12 OFF OF MAIN #1 TRAILED THROUGH S/END OF CROSSOVER FROM RUNNER TO EAST T","RAMP LEAD REVERSED MOVE AND DERAILED HEARING ON BRAKEMEN.","","","","","","","","","","","","","","","","","","","","","","",
"88","12","UP","1288UT212","","","","","88","12","UP","1288UT212","","","88","12","22","9","50","PM","01","0","0","0","0","UTAH","SALT LAKE CITY","7.8","49","28","4","6","010","E","2222","3","3517","1","Y","MAIN 1","3","","2","TTKX","850260","028","N","TTKX","850260","028","N","3","0","0","0","0","0","0","0","0","0","21","0","30","0","0","0","0","4","0","0","23400","10500","E64C","","0","0","0","0","E64C","2","3","010","33900","","49C035","0","000000","0","1","0","1","1","06","50","06","50","1","7","W","1L","0","UTAH","N","165","","1988","0","0","0","0","0","0","SALT LAKE","035","","","","N","","","TTKX 850260 MTY 28TH CAR FROM HEAD L-4 VERTICAL SHARP FLANGE COMBINED WITH WORN SWITCH POINT SPLIT T","HE SWITCH ON THE SOUTH END OF THE EAST WEST CROSSOVER, DERAILING.","","","","","","","","","","","","","","","","","","","","","","",
