"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"90","09","BN","LA1904","","","","","90","09","BN","LA1904","","","90","09","27","11","15","PM","01","0","0","0","0","LAKES","NORTHTOWN","0.0","27","50","4","1","005","E","1143","4","7100","1","Y","671 CROSS","1","","2","BN","376255","003","N","","","","","2","0","0","0","0","0","0","0","0","0","56","0","56","0","0","0","0","3","0","0","1000","15500","H999","","0","0","0","0","H999","2","1","005","16500","","27C053","0","000000","0","1","0","1","2","05","35","05","35","1","4","W","1L","0","LAKES","NI","113","","1990","0","0","0","0","0","0","HENNEPIN","053","","","","N","","","TRAIN 143 INBOUND ON NORTH RUNNER CROSSOVER TO NORTH RECEIVER DERAILED TWO CARS AT THE FROG ON THE 6","71 CROSSOVER.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","BS","RE902","","","","","90","12","WGNZ","INDUSTRY","","","90","12","28","3","10","PM","01","0","0","0","0","SYSTEM","PORT BIRMINGHAM","0","01","40","2","2","006","E","4","2","0","7","Y","BACKSIDE","","","4","BN","521717","004","Y","","","","","0","0","0","2","0","0","0","0","0","0","37","0","1","0","0","3","0","0","0","0","5688","1076","T210","","0","0","0","0","T210","4","0","006","6764","","01C073","0","000000","0","1","0","1","1","06","40","06","40","1","3","","3S","0","SYSTEM","N","356","","1990","0","0","0","0","0","0","JEFFERSON","073","","","","N","","","#4 PORT CREW, OPERATING ENGINES 223 AND 224, WAS IN PROCESS OF SHOVING 38 CARS SOUTH TO COUPLE TO AN","OTHER CUT OF CARS ON THE BACKSIDE TRACK ON WARRIOR & GULF NAVIGATION CO. PROPERTY. AS CREW WAS SHOVI","NG SLOWLY SOUTH, A 6 SECTION OF RAIL BROKE AFTER THE FIRST 3 CARS WENT OVER THE POINT OF DERAILMENT.","WHEN THE RAIL BROKE, THE 4TH, 5TH AND 6TH CARS DERAILED.","","","","","","","","","","","","","","","","","","","","",
"90","12","YKR","YKR0490","","","","","90","12","YKR","YKR0490","","","90","12","17","3","40","PM","01","0","0","0","0","SYSTEM","YORK","12.5","42","50","2","1","005","E","YARD","3","250","7","Y","#3","1","","4","TTPX","080160","001","Y","","","","","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","25000","T314","","0","0","0","0","T314","4","1","005","25000","","42C133","0","000000","0","1","0","1","1","07","20","07","20","1","2","","3S","0","SYSTEM","N","206","","1990","0","0","0","0","0","0","YORK","133","","","","N","","","CREW COUPLED TO RAILCARS INSIDE BUILDING AND BEGAN PULLING OUT WHEN 2ND TRUCK ON FIRST CAR PICKED A","SWITCH POINT APPROXIMATELY 100 FEET OUTSIDE OF BUILDING. CARS WERE HEAVY AND WERE BEING PULLED DOWN","GRADE.","","","","","","","","","","","","","","","","","","","","","",
"90","12","WC","G1693","","","","","90","12","WC","G1693","","","90","12","11","10","25","PM","01","27","0","0","0","SYSTEM","STEVENS POINT","CM249","55","45","4","4","007","E","L013","4","8744","1","Y","MAIN LINE CROSSOVER","1","","2","WC","005744","026","Y","","","","","3","0","0","0","0","0","0","0","0","0","75","0","12","0","0","5","0","0","0","0","15800","15805","E64C","","0","0","0","0","E64C","2","1","007","31605","","55C097","0","000000","0","1","0","1","0","07","25","07","25","1","4","","3L","1","SYSTEM","NM","166","","1990","0","0","0","0","0","0","PORTAGE","097","","","","N","","","TRAIN PULLING OUT FROM A-2 SWITCH AND CAR WC 5744 DERAILED AT IRON SWITCH CAUSING 4 MORE CARS TO DER","AIL AT THE MAIN LINE CROSSOVER. DUE TO THIN FLANGE ON CAR WC 5744.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","WC","G1694","","","","","90","12","WC","G1694","","","90","12","02","1","30","AM","04","1","1","0","0","SYSTEM","FOND DU LAC","CM 158","55","30","4","6","004","E","1","3","0","6","Y","YARD TRK NO.1","1","","2","UTLX","081023","001","Y","","","","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","7500","0","H021","","0","0","0","0","H021","2","1","004","7800","","55C039","0","000000","0","1","0","1","1","01","30","01","30","1","4","","3L","1","SYSTEM","NM","177","","1990","0","0","0","0","0","0","FOND DU LAC","039","","","","N","","","CREW KICKED 2 CARS DOWN TRACK 2 WHICH CLEARED SWITCH THEN KICKED 2 CARS TOWARD TRACK 1 WHICH CORNERE","D CAR ON TRACK 2 AS CARS ON TRACK 2 EVIDENTLY ROLLED BACK AND FOULED TRACK 1.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","WC","G1694","","","","","90","12","WC","G1694","","","90","12","02","1","30","AM","04","0","0","0","0","SYSTEM","FOND DU LAC","CM158","55","30","4","6","000","E","","","0","6","Y","YARD TRACK NO. 2","1","","2","MSDR","195191","001","N","","","","","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","300","0","H021","","0","0","0","0","H021","2","1","004","7800","","55C039","0","000000","0","1","0","1","1","01","30","01","30","3","4","","3L","1","SYSTEM","NM","196","","1990","0","0","0","0","0","0","FOND DU LAC","039","","","","N","","","CREW KICKED 2 CARS DOWN TRACK 2 WHICH CLEARED THE SWITCH THEN LINED TRACK FOR TRACK 1 AND KICKED 2 C","ARS TOWARD TRACK 1 WHICH CORNERED CAR WHICH EVIDENTLY ROLLED BACK ON TRACK 2 AND FOULED TRACK 1.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","CR","0530004","","","","","90","12","WEST","INDUSTRY","R020","","90","12","31","4","0","PM","01","0","0","0","0","PITTSBURGH","WEIRTON","","54","24","2","1","004","E","WIMJ","4","2500","1","Y","#5 WEIRTON STEEL","1","","4","CR","473101","026","Y","","","","","3","0","0","0","0","0","0","0","0","0","35","0","16","0","0","3","0","0","0","0","3500","3000","T311","","0","0","0","0","T311","4","1","004","6500","","54C029","0","000000","0","1","0","1","1","08","15","08","15","1","2","E","1L","0","PITTSB","N","109","","1990","0","0","0","0","0","0","HANCOCK","029","00","00","","N","","","WIMJ 37 SHOVING #5 TRACK, WEIRTON STEEL YARD, DERAILED 3 CARS DUE TO RACOR #22 TYPE SWITCH OUT OF AD","JUSTMENT.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","WGCR","5","","","","","90","12","WGCR","5","","","90","12","03","3","0","PM","01","0","0","0","0","SYSTEM","WATERFORD","800","01","60","2","3","005","E","","1","2400","1","Y","MAIN TRACK","X","000.95","1","PVGX","001139","009","Y","","","","","3","0","0","0","0","0","0","0","0","0","54","0","7","0","0","8","0","0","0","0","50000","10000","T221","T002","0","0","0","0","T221","1","0","005","60000","","01C045","0","000000","0","1","0","1","0","07","00","07","00","1","3","","3L","0","SYSTEM","I","133","102","1990","0","0","0","0","0","0","DALE","045","","","","N","","","RAIN SOFTENED THE ROADBED CAUSING RAIL TO BREAK. 8 CARS DERAILED, 2 TURNED OVER. 9TH THRU 16TH CAR D","ERAILED, 11TH & 12TH TURNED OVER.","","","","","","","","","","","","","","","","","","","","","","",
"90","12","WGCR","8","","","","","90","12","WGCR","8","","","90","12","21","3","30","PM","01","0","0","0","0","SYSTEM","GERALD","811","01","60","2","2","008","E","","1","1500","1","Y","MAIN TRACK","X","000.95","1","PVGX","001122","007","Y","","","","","3","0","0","0","0","0","0","0","0","0","15","0","0","0","0","3","0","0","0","0","45000","20000","E40C","","0","0","0","0","E40C","1","0","008","65000","","01C045","0","000000","0","1","0","1","0","07","00","07","00","1","3","","3L","0","SYSTEM","I","95","","1990","0","0","0","0","0","0","DALE","045","","","","N","","","ENGINEMAN RANEW FELT TUG IN TRAIN AND APPLIED EMERGENCY APPLICATION. TRAIN STOPPED IMMEDIATELY.","","","","","","","","","","","","","","","","","","","","","","","",
"90","12","UP","1290UT214","","","","","90","12","UP","1290UT214","","","90","12","22","11","0","PM","01","0","0","0","0","UTAH","OGDEN","991.0","49","-9","4","1","000","E","","4","0","5","","EAST 17","1","","2","UP","980083","001","N","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","100","0","T299","","0","0","0","0","T299","2","1","004","5850","","49C057","0","000000","0","","","","","","","","","1","7","W","1L","0","UTAH","N","200","","1990","0","0","0","0","0","0","WEBER","057","","","","N","","","SP 292880 DERAILED ACCOUNT BROKEN RAIL; WHEN CREW SHOVED OTHER CARS INTO THE RAIL WITHOUT KNOWING OF","DERAILED CAR, RAIL BROKE AND ROLLED OVER DERILING 6 OTHER CARS - SIDESWIPING UP 980083 ON TRK E-17.","","","","","","","","","","","","","","","","","","","","","","",
