"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"96","12","UP","1296RS078","96","12","ATK","61226WSDAA","96","12","UP","1296RS078","","","96","12","26","9","30","AM","01","0","0","0","0","LOS ANGELES","OAKLAND","0.0","06","58","2","1","000","","","","0","","","YARD","1","","2","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","M505","","0","0","0","0","M505","2","1","010","44298","","06C001","0","000000","0","","","","","","","","","1","7","W","1L","0","LOSANG","N","177","3174","1996","0","0","0","0","0","0","ALAMEDA","001","","","","N","","","IN THE PROCESS OF MAKING A SWITCH MOVE IN OAKLAND YARDS. THE MIDDLE CARS DERAILED AND WENT ON THE GR","OUND CAUSING EXTENSIVE DAMAGE. CAUSE OF DERAILMENT STILL UNDER INVESTIGATION.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","UP","1296TC014","","","","","96","12","UP","1296TC014","","","96","12","13","1","20","AM","01","0","0","0","0","TWIN CITIES","VALPARK","22.1","27","31","4","4","006","E","CARS","1","0","6","Y","YARD","1","","2","MP","715857","010","N","","","","","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","3","0","0","14450","700","H020","","0","0","0","0","H020","2","1","006","15150","","27C139","0","000000","0","1","0","1","1","03","20","03","20","1","4","W","1L","0","TWICIT","N","180","3175","1996","0","0","0","0","0","0","SCOTT","139","","","","N","","","LTD84 WAS SWITCHING FROM THE SOUTH END AND FAILED TO APPLY ENOUGH HAND BRAKES ON TRACK 13. TRACK RAN","OUT NORTH END AND COLLIDED WITH CARS ON THE LEAD. ZTS. YARD 1 TRACKS 13 AND 131.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","UP","1296VB009","","","","","96","12","UP","1296VB009","","","96","12","23","7","30","PM","01","0","0","0","0","CENTRAL","RAY","661.0","48","34","4","2","005","E","KCMX","1","7300","1","Y","YARD","1","","2","RUSX","483320","051","Y","","","","","4","0","0","0","0","0","0","0","0","0","65","0","0","0","0","3","0","0","0","0","7700","15000","T110","","0","0","0","0","T110","2","1","005","22700","","48C181","0","000000","0","1","0","1","0","07","30","07","30","1","5","W","1L","0","CENTRA","N","134","3176","1996","0","0","0","0","0","0","GRAYSON","181","","","","N","","","KCMX-22 DERAILED 3 CARS ON LEAD TRACK, RAY YARD ACCOUNT POOR TIE CONDITION CAUSING WIDE GAUGE IN SWI","TCH BETWEEN POINT AND HEEL FILLER.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","UP","1296VB017","","","","","96","12","UP","1296VB017","","","96","12","17","9","0","PM","01","0","0","0","0","CENTRAL","SALINA","187.0","20","20","4","2","003","E","5617","4","430","7","Y","YARD","1","","2","CNW","155827","005","N","CNW","155827","005","N","2","0","0","0","0","0","0","0","0","0","3","0","8","0","0","0","0","1","0","0","16608","200","E39C","","0","0","0","0","E39C","2","1","003","16808","","20C169","0","000000","0","1","0","1","1","05","01","05","01","1","6","W","1L","0","CENTRA","N","112","3178","1996","0","0","0","0","0","0","SALINE","169","","","","N","","","YSN56-17 PULLING WEST OUT OF TRACK 2, CUSHIONING UNDERFRAME FELL OFF CNW 155827 CAUSING FOLLOWING CA","R TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","SP","H3146","","","","","96","12","SP","H3146","","","96","12","20","5","15","PM","12","0","0","0","0","HOUSTON","NACOGDOCHES","YARD","48","55","3","2","005","E","H450","4","210","7","Y","701","1","","2","SP","007299","001","N","","","","","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","6000","500","H020","","0","0","0","0","H020","2","1","005","6500","","48C347","0","000000","0","1","0","1","1","10","45","10","45","1","5","W","1L","0","HOUSTO","MO","94","3127","1996","0","0","0","0","0","0","NACOGDOCHES","347","","","","N","","","CAR LEFT IN TRACK 701, ROLLED INTO THE SIDE OF ENGINE AND ONE CAR BEING PULLED FROM TRACK 702.","","","","","","","","","","","","","","","","","","","","","","","",
"96","12","SP","I2216","","","","","96","12","SP","I2216","","","96","12","06","5","45","AM","01","4","3","0","0","LOS ANGELES","WEST COLTON","YARD","06","65","4","3","010","E","862","3","14028","7","Y","209","1","","2","UP","040507","034","Y","","","","","3","0","0","0","0","0","0","0","0","0","92","0","67","0","0","4","0","0","0","0","19480","400","S007","","0","0","0","0","S007","2","1","010","19880","","06C071","0","000000","0","1","0","1","2","06","15","06","15","1","7","W","1L","1","LOSANG","NM","114","3128","1996","0","0","0","0","0","0","SAN BERNARDINO","071","","","","N","","","DURING HUMPING OPERATIONS DERAILED 4 CARS IN BOWL TRACK 209 DUE TO RADAR DETECTOR FAILURE ALLOWING N","O RETARDATION.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","SP","J1466","","","","","96","12","SP","J1466","","","96","12","04","8","30","AM","01","0","0","0","0","HOUSTON","AVONDALE","YARD","22","63","2","1","005","E","604","3","1640","7","Y","WEST LEAD","1","","2","ETTX","901301","005","Y","","","","","1","0","0","0","0","0","0","0","0","0","17","0","0","0","0","2","0","0","0","0","4992","1500","T102","","0","0","0","0","T102","2","1","005","6492","","22C051","0","000000","0","1","0","1","1","02","00","02","00","1","5","W","1L","0","HOUSTO","GMO","108","3129","1996","0","0","0","0","0","0","JEFFERSON","051","","","","N","","","JOB 604 SHOVING EAST ON WEST LEAD OF NEW YARD DERAILED 2 CARS ETTX 901301 AND SOU 50368 ACCOUNT CROS","S LEVEL.","","","","","","","","","","","","","","","","","","","","","","",
"96","12","WPRR","96W196D","","","","","96","12","WPRR","96W196D","","","96","12","26","10","15","PM","01","0","0","0","0","SYSTEM","SHIPLEY","746.24","41","40","4","2","006","E","1852","3","1200","1","Y","SINGLE MAIN TRACK","X","0001.0","1","HLSC","002007","002","Y","","","","","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0","3","0","0","0","0","1550","7218","T110","","0","0","0","0","T110","1","0","006","8768","","41C071","0","000000","0","1","0","1","0","08","15","08","15","1","8","","3L","0","SYSTEM","M","79","3182","1996","0","0","0","0","0","0","YAMHILL","071","","","","N","","","AS TRAIN WAS MOVING EASTBOUND, CARS DERAILED ON SECTION OF TRACK WITH BAD TIES.","","","","","","","","","","","","","","","","","","","","","","","",
"96","12","WSOR","1208961","","","","","96","12","WSOR","1208961","","","96","12","08","10","55","AM","01","0","0","0","0","SYSTEM","JANESVILLE","9.5","55","30","2","1","005","E","2008","4","4670","1","Y","MONROE SUB","2","","2","CSXT","801580","008","Y","","","","","3","0","0","0","0","0","0","0","0","0","44","0","9","0","0","5","0","0","0","0","10000","8394","T113","","0","0","0","0","T113","2","2","005","18394","","55C105","0","000000","0","1","0","1","0","03","55","03","55","1","4","","3L","0","SYSTEM","N","59","3183","1996","0","0","0","0","0","0","ROCK","105","","","","N","","","TRAIN ENCOUNTERED WIDE GAGE AND DERAILED WHEN LEAVING YARD.","","","","","","","","","","","","","","","","","","","","","","","",
"96","12","WC","G3071","","","","","96","12","WC","G3071","M060","","96","12","18","8","5","PM","01","0","0","0","0","WESTERN","RIPLINGER","296.4","55","5","4","6","047","R","18","4","3450","1","Y","SINGLE MAIN TRACK","4","020.75","1","WC","006655","002","","","","","","4","0","0","0","0","3","0","0","0","0","0","0","115","0","0","0","0","33","0","0","827175","45150","T499","","0","0","0","0","T499","1","4","047","872325","","55C019","0","000000","0","1","0","1","0","05","05","05","05","1","4","","3L","0","WESTER","O","576","3180","1996","0","0","0","0","0","0","CLARK","019","00","00","","N","","","EMPTY COAL TRAIN - WCUPX-18, CONSISTING OF 4 LOCOMOTIVES AND 115 EMPTY COAL CARS, WAS TRAVELING WEST","AT A SPEED OF 46.9 MPH WHEN THE AIR WENT. THE CREW FOUND THAT THE TRAIN HAD DERAILED BEHIND THE LEA","D UNIT. INVESTIGATION REVEALED THAT THE DERAISMENT OCCURRED BECAUSE OF ICE BUILD-UP BETWEEN THE BASE","OF THE RAIL AND THE TIE PLATE CAUSING THE RAIL TO SPREAD. A TOTAL OF 3 LOCOMOTIVES DERAILED ALONG W","ITH 33 CARS, OF WHICH 28 WERE DESTROYED. THERE WAS A FUEL LOSS OF APPROXIMATELY 2,000 GALLONS.THE CR","EW UNDERWENT FRA MANDATORY POST-ACCIDENT TESTING. ALL RESULTS WERE NEGATIVE.","","","","","","","","","","","","","","","","","","",
