"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"87","12","SOO","SA22","87","12","UP","1287KA204","87","12","UP","1287KA204","","","87","12","08","9","0","AM","04","4","0","0","0","SOUTHERN","KANSAS CITY","NA","20","48","2","2","000","E","0221","3","6005","1","Y","NA","","","","SOO","000752","001","","","","","","1","0","0","0","0","0","0","0","0","0","51","0","24","0","1","0","0","0","0","0","2000","0","T314","","0","1","0","1","T314","3","2","008","21165","","20C091","1","000012","0","1","0","1","1","01","00","01","00","1","6","W","1L","1","SOUTHE","FO","166","","1987","0","1","0","0","0","0","JOHNSON","091","","","","N","","","WESTBOUND UP TRAIN DERAILED 18TH HEAD CAR AT FAREFAX WYE SWITCH. THE WHEELS OF CAR WENT ON TWO TRACK","S CAUSING AUTO RACK TO SIDESWIPE SOO TRAIN #221 ON ADJACENT TRACK.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287KA204","87","12","SOO","SA22","87","12","UP","1287KA204","","","87","12","08","8","30","AM","04","0","0","0","0","KANSAS","ARMSTRONG","3","20","52","2","2","008","R","07","4","5529","1","Y","RUNNING TRK E. LEG","2","","3","ETTX","853796","012","Y","ETTX","853796","012","Y","3","0","0","0","0","0","0","0","0","0","55","0","46","0","0","2","0","1","0","0","18300","865","T314","","0","0","0","1","T314","3","2","008","21165","","20C091","0","000000","0","1","1","1","1","11","05","11","05","2","6","W","1L","1","KANSAS","N","89","","1987","0","0","0","0","0","0","JOHNSON","091","","","","N","","","CAR NO. ETTX 904352 STRUCK SOO LINE ENG, 757 CAUSING UP 360145 AND ETTX 853796 TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287KA211","","","","","87","12","UP","1287KA211","","","87","12","20","6","15","PM","01","0","0","0","0","KANSAS","RICHTER","362","20","35","4","1","008","E","17","3","12560","1","Y","MAIN","4","0000.1","1","USLX","007881","049","Y","USLX","007881","049","Y","4","0","0","0","0","0","0","0","0","0","100","0","0","0","0","1","0","0","0","0","6000","1000","E53C","","0","0","0","0","E53C","1","4","008","7000","","20C059","0","000000","0","1","0","1","1","02","10","02","10","1","6","W","1L","0","KANSAS","G","53","","1987","0","0","0","0","0","0","FRANKLIN","059","","","","N","","","BURNED OFF JOURNAL ON USLX 7881 CAUSED CAR TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287LA202","","","","","87","12","UP","1287LA202","","","87","12","10","6","30","AM","04","11","1","0","0","LOUISIANA","ADDIS","90","22","45","1","4","002","E","T304","2","3187","7","Y","NO.8","1","","2","UTLX","071626","044","Y","","","","","2","0","0","0","0","0","0","0","0","0","22","0","20","0","0","0","0","0","0","0","3785","0","H301","","0","0","0","0","H301","2","1","002","7785","","22C121","0","000000","0","1","0","1","2","07","30","07","30","1","5","W","1L","1","LOUISI","N","146","","1987","0","0","0","0","0","0","WEST BATON ROUGE","121","","","","N","","","NORTH LEAD JOB SHOVING TRACK 8 FROM NORTH END. SOUTH LEAD JOB WEIGHING CARS DOWN LEAD. TRACK 8 SHOVE","D UTLX 71626 INTO GAPX 9115 ROLLING DOWN LEAD.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287LA202","","","","","87","12","UP","1287LA202","","","87","12","10","6","30","AM","04","7","1","0","0","LOUISIANA","ADDIS","90","22","45","1","4","000","R","T302","1","780","7","Y","SOUTH LEAD","1","","2","GAPX","009115","007","Y","","","","","2","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","4000","0","H301","","0","0","0","0","H301","2","1","002","7785","","22C121","0","000000","0","1","0","1","1","07","30","07","30","3","5","W","1L","1","LOUISI","N","146","","1987","0","0","0","0","0","0","WEST BATON ROUGE","121","","","","N","","","NORTH LEAD JOB SHOVING TRACK 8 FROM NORTH END. SOUTH LEAD JOB WEIGHING CARS DOWN LEAD. TRACK 8 SHOVE","D UTLX 71626 INTO GAPX 9115 ROLLING DOWN LEAD.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287LA206","","","","","87","12","UP","1287LA206","","","87","12","26","10","35","AM","01","49","4","0","0","LOUISIANA","DONALDSONVILLE","65","22","76","2","2","005","E","326","2","4900","1","Y","WYE","1","","2","ALEX","001330","004","Y","ALEX","001330","004","Y","2","0","0","0","0","0","0","0","0","0","49","0","0","0","0","4","0","0","0","0","4000","2200","T314","","0","0","0","0","T314","2","1","005","6200","","22C005","0","000000","0","1","0","1","2","04","25","04","25","1","5","W","1L","1","LOUISI","N","100","","1987","0","0","0","0","0","0","ASCENSION","005","","","","N","","","LEAD WHEEL OF TRAILING TRUCK, ALEX 1330, CLIMBED SWITCH POINT OF TRANSFER TRACK SWITCH AND DERAILED.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID214","","","","","87","12","UP","1287ID214","M060","","87","12","27","7","45","AM","01","0","0","0","0","IDAHO","PEGRAM",".9","16","7","1","1","049","R","D22","4","9280","1","Y","POCATELLO SD #1","4","0034.0","1","MP","711627","033","Y","","","","","3","0","0","0","0","0","0","0","0","0","71","0","0","0","0","25","0","0","0","0","516700","500000","E61C","","0","0","0","0","E61C","1","4","049","1016700","","16C007","0","000000","0","1","0","1","2","04","30","04","30","1","8","W","1L","0","IDAHO","EM","125","","1987","0","0","0","0","0","0","BEAR LAKE","007","00","00","","N","","","PIECE OF BROKEN WHEEL FOUND BY TRACK MANAGER REX RAWLINS 132' WEST OF FIRST MARKS WHICH WERE FOUND 2","40 FEET WEST OF MP 97.00.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID222","","","","","87","12","UP","1287ID222","","","87","12","26","9","45","AM","01","0","0","0","0","IDAHO","PARMA","481.7","16","22","2","1","013","R","123","3","6342","1","Y","MAIN LINE","4","0001.6","1","TSE","005108","074","Y","","","","","3","0","0","0","0","0","0","0","0","0","51","0","23","0","0","1","0","0","0","0","5000","10000","E53C","","0","0","0","0","E53C","1","4","013","15000","","16C027","0","000000","0","1","0","1","1","06","55","06","55","1","8","W","1L","0","IDAHO","G","35","","1987","0","0","0","0","0","0","CANYON","027","","","","N","","","FAILED JOURNAL ON REAR CAR TSE 5108","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287IL212","","","","","87","12","UP","1287IL212","","","87","12","29","9","15","AM","01","0","0","0","0","ILLINOIS","PEA RIDGE","84","29","33","2","1","005","E","28","4","0","1","Y","SOUTHWEST","2","","4","UP","025190","040","N","","","","","3","0","0","0","0","0","0","0","0","0","0","0","36","0","1","0","0","1","0","1","8000","100","H212","","0","0","0","0","H212","4","2","005","8100","","29C221","0","000000","0","1","0","1","1","00","15","00","15","1","6","W","1L","0","ILLINO","N","105","","1987","0","0","0","0","0","0","WASHINGTON","221","","","","N","","","ENGINEER WAS TOLD TO SHOVE BACK, BUT WAS NOT GIVEN ANY DISTANCE TO SHOVE, BECAUSE OF MALFUNTION OF R","ADIO.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","ALS","120987","","","","","87","12","UP","1287IL214","","","87","12","09","12","1","AM","01","0","0","0","0","SYSTEM","ST LOUIS","0","29","30","4","2","005","E","","4","3010","1","Y","BARTON LEAD","","","2","CR","006813","001","Y","","","","","2","0","0","0","0","2","0","0","0","0","28","0","22","0","1","0","0","0","0","0","8000","0","T110","","0","0","0","0","E29L","2","1","005","8000","","29C510","0","000000","0","1","0","1","2","08","31","08","31","1","6","","3S","0","SYSTEM","N","114","","1987","0","0","0","0","0","0","ST LOUIS","510","","","","N","","","3:30PM ST LOUIS BUM SHOVING OUT OF LESPERANCE ST DERAILED TWO ENGINES ACCOUNT WIDE GAUGE DUE TO POOR","TIE CONDITION.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287IL214","87","12","ALS","120987","87","12","UP","1287IL214","","","87","12","09","12","1","AM","01","0","0","0","0","ILLINOIS","LESPERANCE","1.0","29","40","4","1","005","E","ALS","2","0","8","Y","TRACK #17","1","","2","CR","006842","001","N","","","","","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","E29L","","0","0","0","0","E29L","2","1","005","8000","","29C510","0","000000","0","1","0","1","2","10","00","10","00","2","6","W","1L","0","ILLINO","N","93","","1987","0","0","0","0","0","0","ST LOUIS","510","","","","N","","","ALS TRANSFER SHOVING SOUTH ON TRACK #17, DERAILED 2 ENGINES ON OUR TRACK ACCOUNT SPREAD RAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287KA013","","","","","87","12","UP","1287KA013","","421988D","87","12","14","6","45","PM","07","0","0","0","0","KANSAS","BOONE","871","08","15","4","2","020","E","51","4","520","1","Y","MAIN","3","","1","UP","000647","001","","","","","","2","0","0","0","0","0","0","0","0","0","2","0","6","0","0","0","0","0","0","0","0","21000","M399","","0","1","0","1","M399","1","3","020","21000","","08C101","1","000000","0","1","0","1","2","02","00","02","00","1","6","W","1L","0","KANSAS","EIM","153","","1987","0","0","0","0","0","1","PUEBLO","101","","","","N","","","VEHICLE HIGH CENTERED ON PRIVATE CROSSING, TRAINS STRUCK VEHICLE PUSHING SAME DOWN TRACK & INTO A HO","T BOX DETECTOR ALONG TRACK, TOTALING HOTBOX DETECTOR.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287KA021","87","12","DRGW","ZZZZZZZZZZ","87","12","UP","1287KA021","","","87","12","20","4","50","AM","01","18","8","2","0","KANSAS","LEEDS","284","29","30","4","1","013","E","128","1","6330","1","Y","BLUE YARD","3","","1","KCCX","002634","030","Y","","","","","4","0","0","0","0","0","0","0","0","0","46","0","28","0","0","6","0","2","0","0","0","5767","T220","","0","1","0","1","T220","1","3","013","5767","","29C095","1","000002","0","1","0","1","1","11","40","11","40","1","6","W","1L","1","KANSAS","E","82","","1987","0","1","0","0","0","0","JACKSON","095","","","","N","","","BROKEN RAIL APPEARED TO BE OBJECT ON RAIL. WENT INTO EMERGENCY CAUSING DERAILMENT.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287FR211","","","","","87","12","UP","1287FR211","","","87","12","22","11","50","AM","04","0","0","0","0","FEATHER RIVER","ELKO","6.6","49","34","2","6","004","E","","4","0","6","N","YARD 23 TRK #12","2","","2","PLCX","022893","","Y","PLCX","022893","","Y","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","14000","H302","","0","0","0","0","H302","2","2","004","14000","","49C043","0","000000","0","0","0","0","0","","","","","3","7","W","1L","0","FEATHE","NM","96","","1987","0","0","0","0","0","0","SUMMIT","043","","","","N","","","SWITCH ENGINE MAKING BLIND SHOVE ON TRACK #12 RAIL -YEL-11 ON TRACK #11 OUT TO FOUL ON EAST END.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287GU205","","","","","87","12","UP","1287GU205","M060","","87","12","12","4","15","PM","01","13","12","4","2000","GULF","ROUND ROCK","159.3","48","60","2","2","035","E","11","1","0","6","Y","MAIN","4","0000.9","1","RTMX","020405","","Y","RTMX","020405","","Y","0","0","0","0","0","0","0","0","0","0","37","0","50","0","0","21","0","1","0","0","365000","50000","H099","","0","0","0","0","H099","1","4","035","415000","","48C491","0","000000","0","1","0","1","2","03","15","03","15","1","5","W","1L","1","GULF","E","67","","1987","0","0","0","0","0","0","WILLIAMSON","491","00","00","","N","","","FAILURE OF CREW TO COMPLY WITH OPERATING, AIR BRAKE & SAFETY RULES.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287GU221","","","","","87","12","UP","1287GU221","","","87","12","30","4","45","PM","01","0","0","0","0","GULF","BEAUMONT","459","48","56","4","1","005","E","0630","3","2330","1","Y","S MAIN CROSSOVER","2","","1","GBW","007613","022","Y","GBW","007613","022","Y","2","0","0","0","0","0","0","0","0","0","23","0","1","0","0","5","0","1","0","0","815","6500","T311","","0","0","0","0","T311","1","2","005","7315","","48C245","0","000000","0","1","0","1","2","09","45","09","45","1","5","W","1L","0","GULF","E","93","","1987","0","0","0","0","0","0","JEFFERSON","245","","","","N","","","CROSSING S MAIN TO N MAIN. SWITCH FAILED TO LOCK UP CAUSING 19TH THROUGH 24TH CARS TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID201","","","","","87","12","UP","1287ID201","","","87","12","08","8","30","PM","01","2","0","0","0","IDAHO","WESTON",".6","16","20","4","1","042","R","HK07","4","7634","1","Y","OGDEN SD #1","3","0013.3","1","UPFE","460337","037","Y","","","","","2","0","0","0","0","0","0","0","0","0","69","0","8","0","1","17","0","0","0","0","410000","12000","E53C","","0","0","0","0","E53C","1","3","042","422000","","16C041","0","000000","0","1","0","1","2","02","00","02","00","1","8","W","1L","1","IDAHO","EM","87","","1987","0","0","0","0","0","0","FRANKLIN","041","","","","N","","","DERAILMENT DUE TO FAILED JOURNAL, B END, NORTH END, EAST SIDE OF 27TH CAR, UPFE 460337.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID204","","","","","87","12","UP","1287ID204","","","87","12","08","4","5","AM","02","1","0","0","0","IDAHO","MINIDOKA","","16","26","4","1","000","R","","4","0","5","N","MSK SPUR","1","","2","GATX","049643","001","Y","","","","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","15000","0","H306","","0","0","0","0","H306","2","1","008","56800","","16C067","0","000000","0","0","0","0","0","","","","","1","8","W","1L","1","IDAHO","N","68","","1987","0","0","0","0","0","0","MINIDOKA","067","","","","N","","","CREW DID NOT CHECK ALL SWITCHES FOR MOVEMENT AND MADE A BLIND SHOVE.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID204","","","","","87","12","UP","1287ID204","","","87","12","08","4","5","AM","02","0","0","0","0","IDAHO","MINIDOKA","","16","26","4","1","008","E","6907","4","0","1","Y","TRK 01-702","1","","2","UP","040702","020","N","","","","","1","0","0","0","0","0","0","0","0","0","12","0","8","0","0","0","0","8","0","0","41800","0","H306","","0","0","0","0","H306","2","1","008","56800","","16C067","0","000000","0","1","0","1","2","10","05","10","05","3","8","W","1L","1","IDAHO","N","68","","1987","0","0","0","0","0","0","MINIDOKA","067","","","","N","","","CREW DID NOT CHECK ALL SWITCHES FOR MOVEMENT AND MADE A BLIND SHOVE.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","UP","1287ID208","","","","","87","12","UP","1287ID208","","","87","12","11","10","45","PM","01","0","0","0","0","IDAHO","HAMER","2.1","16","16","4","1","021","R","H76","3","0","1","Y","MONTANA SUBDIVISION","3","0000.4","1","ABOX","051936","001","Y","","","","","2","0","0","0","0","0","0","0","0","0","3","0","3","0","0","1","0","1","0","0","18599","0","M501","","0","0","0","0","M501","1","3","021","18599","","16C051","0","000000","0","1","0","1","2","06","45","06","45","1","8","W","1L","0","IDAHO","M","199","","1987","0","0","0","0","0","0","JEFFERSON","051","","","","N","","","WHILE SWG CARS AT INDUSTRY, LEFT CARS ON M/L BLOCKING CROSSING WITH OCCUPIED VEHICLES IN AREA, SOMEO","NE PULLED PINLIFTER ON ABOX 51936 ALLOWING 3 CARS TO ROLL EAST AND THEN ROLLED BACK WEST INTO UNIT.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","NW","T291287003","","","","","87","12","SOO","SB719","","","87","12","06","9","12","AM","01","9","0","0","0","FORT WAYNE","CALUMET","","17","34","2","2","005","E","","3","0","7","Y","#2 RECEIVING","1","","2","USLX","001289","026","Y","","","","","2","0","0","0","0","0","0","0","0","0","47","0","0","0","0","5","0","0","0","0","800","0","T110","","0","0","0","0","T110","2","1","005","800","","17C031","0","000000","0","1","0","1","2","09","13","09","13","1","4","E","1L","1","FTWAYN","N","145","","1987","0","0","0","0","0","0","COOK","031","","","","N","","","NW CREW PULLING 47 CARS WHEN GAUGE OPENED UNDER MOVEMENT, DERAILING 5 CARS. 27TH AND 28TH CARS HIT C","AR ON ADJACENT SOO LINE TRACK, DAMAGING SAME.","","","","","","","","","","","","","","","","","","","","","","",
"87","12","SOO","WA21","","","","","87","12","SOO","WA21","","","87","12","12","4","0","AM","01","0","0","0","0","WESTERN","WIMBELDON","314","38","15","4","2","010","E","","3","11455","1","Y","SIDING","1","","3","EOGX","004160","070","Y","","","","","1","0","0","0","0","0","0","0","0","0","88","0","0","0","1","6","0","0","0","0","10546","4180","T221","","0","0","0","0","T221","3","1","010","14726","","38C003","0","000000","0","1","0","1","1","04","15","04","15","1","8","W","1L","0","WESTER","M","38","","1987","0","0","0","0","0","0","BARNES","003","","","","N","","","DUE TO BROKEN RAIL, SIX CARS DERAILED.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","SOU","D05911","","","","","87","12","SOU","D05911","","","87","12","02","9","57","PM","01","27","4","3","900","TENNESSEE","CHARLESTON","201.6A","47","30","4","2","045","R","1634","4","5277","1","Y","MAIN","4","0026.4","1","SCPX","006921","020","N","","","","","3","0","0","0","0","0","0","0","0","0","21","0","108","0","1","4","0","27","0","0","372300","17500","T308","","0","0","0","0","T308","1","4","045","389800","","47C011","0","000000","0","1","0","1","2","05","27","05","27","1","3","S","1L","1","TENNES","GNIM","88","","1987","0","0","0","0","0","0","BRADLEY","011","","","","N","","","TRAIN 163-42 WITH 129 CARS DERAILED 31 CARS ACCOUNT BROKEN STOCK RAIL AT HEEL OF SWITCH.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","SOU","D05921","","","","","87","12","SOU","D05921","","","87","12","03","7","45","PM","01","0","0","0","0","PIEDMONT","HAYWOOD","493.6","45","45","2","1","018","R","173","2","4031","1","Y","MAIN","4","0009.7","1","UP","172447","045","Y","UP","172447","045","Y","3","0","0","0","0","0","0","0","0","0","62","0","0","0","0","1","0","0","0","0","2800","10000","E53C","","0","0","0","0","E53C","1","4","018","12800","","45C077","0","000000","0","1","0","1","2","01","05","01","05","1","3","S","1L","0","PIEDMO","GEIM","67","","1987","0","0","0","0","0","0","PICKENS","077","","","","N","","","TRAIN 173 WITH 62 LOADS DERAILED UP 172447 ACCOUNT JOURNAL FAILURE.","","","","","","","","","","","","","","","","","","","","","","","",
"87","12","SOU","D05933","","","","","87","12","SOU","D05933","","","87","12","07","3","15","PM","05","0","0","0","0","KENTUCKY","ALBION","134.0W","17","55","2","2","007","E","72","4","1825","1","Y","MAIN","4","","1","NS","005060","001","","","","","","2","0","0","0","0","2","0","0","0","0","3","0","44","0","0","0","0","0","0","0","7300","0","H020","","0","0","0","0","H020","1","4","008","9800","","17C047","0","000000","0","1","0","1","2","05","05","05","05","1","6","S","1L","0","KENTUC","GIM","110","","1987","0","0","0","0","0","0","EDWARDS","047","","","","N","","","FAILURE OF EMPLOYEES, TO PROPERLY SECURE CARS LEFT ON MAIN LINE RESULTED IN CARS ROLLING FREE, STRIK","ING UNITS.","","","","","","","","","","","","","","","","","","","","","","",
