"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"91","01","CR","0310001","","","","","91","01","ATK","10105PHLAA","","","91","01","05","1","0","AM","05","0","0","0","0","PHILADELPHIA","CHARLESTON","53.9","24","23","4","2","024","E","ENES","1","11814","1","Y","","","","","CR","006472","001","","","","","","3","0","0","0","0","0","0","0","0","0","102","0","25","0","0","0","0","0","0","0","35500","0","M201","","0","0","0","0","E23C","1","6","024","43500","","24C015","0","000000","0","1","0","1","1","05","59","05","59","3","2","E","1L","0","PHILAD","DGC","147","","1991","0","0","0","0","0","0","CECIL","015","","","","N","","","ENES-4 MOVING NORTH STRUCK CAR IN XNW102 MOVING SOUTH ON ADJACENT TRACK. CAR WAS LEANING TOWARD #2 T","RACK DUE TO RESIDUAL COAL FROZEN TO SIDE SHEET.","","","","","","","","","","","","","","","","","","","","","","",
"91","11","UP","1191AR021","","","","","91","11","UP","1191AR021","","","91","11","23","8","10","PM","01","0","0","0","0","ARKANSAS","MCGEHEE","407.5","05","45","4","1","005","E","LAG0","4","0","7","Y","YARD","1","","2","MP","592265","038","Y","","","","","2","0","0","0","0","0","0","0","0","0","41","0","0","0","0","4","0","0","0","0","6500","2000","T202","","0","0","0","0","T202","2","1","005","8500","","05C041","0","000000","0","1","0","1","1","10","10","10","10","1","5","W","1L","0","ARKANS","NIM","132","","1991","0","0","0","0","0","0","DESHA","041","","","","N","","","LAG-08 SHOVING 43 CARS AROUND THE SOUTH LEG OF `Y`, HAD RAIL BREAK BENEATH CAUSING THREE (3) CARS TO","TURN OVER AND ONE (1) TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","",
"91","11","SSW","W3081","","","","","91","11","UP","1191AR024","","","91","11","27","8","45","PM","12","0","0","0","0","PINE BLUFF","PINE BLUFF","388.6","05","53","4","1","020","E","FR84","2","0","4","Y","WEST MAIN","3","","1","FR","000844","","","","","","","2","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","M201","","0","0","0","0","M201","1","3","020","12000","","05C069","0","000000","0","1","0","1","1","01","45","01","45","1","5","W","1L","0","PINBLU","E","99","","1991","0","0","0","0","0","0","JEFFERSON","069","","","","N","","","RAIL TRAIN HAD RAIL GUIDE DRAGGING AND STRUCK A UP SWITCH MACHINE CAUSING DAMAGE TO SWITCH MACHINE.","","","","","","","","","","","","","","","","","","","","","","","",
"91","11","UP","1191AR024","91","11","SSW","W3081","91","11","UP","1191AR024","","","91","11","27","8","45","PM","12","0","0","0","0","ARKANSAS","PINBLUFF","390.0","05","53","4","1","000","","","","0","","","WEST MAIN","3","","1","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12000","M201","","0","0","0","0","M201","1","3","020","12000","","05C069","0","000000","0","","","","","","","","","2","5","W","1L","0","ARKANS","E","122","","1991","0","0","0","0","0","0","JEFFERSON","069","","","","N","","","SSW RAIL TRAIN FR844L1-27 HAD RAIL GUIDE DRAGGING AND IT STRUCK SWITCH MACHINE AT 388.6 ON # 2 WEST","TRACK, PINE BLUFF, AR.","","","","","","","","","","","","","","","","","","","","","","",
"91","11","UP","1191CH005","","","","","91","11","UP","1191CH005","M861","","91","11","06","3","15","AM","02","0","0","0","0","CHEYENNE","LA SALLE","46.0","08","25","4","1","042","R","NPDE","2","0","8","Y","SINGLE MAIN","4","010.78","1","UP","003797","001","N","","","","","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","340000","36375","H017","","0","0","0","0","H017","1","4","042","581375","","08C123","0","000000","0","1","0","1","1","04","30","04","30","1","6","W","1L","0","CHEYEN","E","181","","1991","0","0","0","0","0","0","WELD","123","01","00","","N","","","WHILE SETTING OUT CARS AT NUNN, CO. FROM TRAIN NPDE-05, LOCOS RAN AWAY ON DESCENDING GRADE DUE TO FA","ILURE TO PROPERLY SECURE ENGINES AND STRUCK TRAIN DEMP-05 STOPPED AT LASALLE, CO.","","","","","","","","","","","","","","","","","","","","","","",
"91","10","SOO","NA60","","","","","91","10","SOO","NA60","","","91","10","20","12","55","PM","01","1","0","0","0","NORTHERN","BLACKBIRD","381.95","27","53","2","2","042","R","2011","4","4480","1","Y","SINGLE MAIN","4","041.20","1","BCOL","018049","087","N","","","","","4","0","0","0","0","0","0","0","0","0","42","0","45","0","0","0","0","1","0","0","10000","1110","E40C","","0","0","0","0","E40C","1","4","042","11110","","27C037","0","000000","0","1","0","1","1","08","10","08","10","1","4","W","1L","1","NORTHE","E","582","","1991","0","0","0","0","0","0","DAKOTA","037","","","","N","","","TRAIN 201-19 WAS HEADING WESTBOUND NEAR HASTINGS, MINNESOTA WHEN IT WENT INTO EMERGENCY. UPON INSPEC","TION, THE CREW FOUND THE REAR CAR DERAILED. THE DERAILED EMPTY BULKHEAD FLATCAR HAD DERAILED ITS REA","R WHEN AT MP 381.95. THE WHEEL STAYED ON TOP OF THE RAIL FOR FIFTEEN FEET, THEN DROPPED OFF ONTO THE","TIES. THE CAR THEN TRAVELED ON THE GROUND TO MP 382.7 WHERE IT ENCOUNTED TURNOUT OF HOT BOX SETOUT","TRACK. THE CAR THEN WENT SIDEWAYS AND STOPPED AT A ROAD CROSSING AT MP 282.8. IT WAS DETERMINED THAT","THE CAR ROCKED OFF DUE TO IMPROPER SIDE BEARING CLEARANCE ON THE A-END OF THE CAR.","","","","","","","","","","","","","","","","","","",
"91","10","CSX","109101065","","","","","91","10","SCFE","910122","","","91","10","31","4","0","AM","01","0","0","0","0","ATLANTA","SEBRING","08672","12","60","4","1","012","E","A778","2","1860","1","Y","SCFE MAIN LINE","2","0006.3","1","CSXT","408008","022","N","","","","","4","0","0","0","0","0","0","0","0","0","3","0","52","0","0","1","0","10","0","0","42000","0","T202","M501","0","0","0","0","T202","1","2","012","48391","","12C055","0","000000","0","1","0","1","1","04","30","04","30","1","3","","1L","0","ATLANT","N","64","703","1991","0","0","0","0","0","0","HIGHLANDS","055","","","","N","","","DERAILMENT CAUSED BY BROKEN RAIL (OCCURRED ON FOREIGN RAILROAD).","","","","","","","","","","","","","","","","","","","","","","","",
"91","10","SCFE","910122","91","10","CSX","109101065","91","10","SCFE","910122","","","91","10","31","4","0","AM","01","0","0","0","0","SYSTEM","SEBRING","8770","12","60","4","1","000","","","","0","","","MAIN","2","","1","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6391","T299","","0","0","0","0","T202","1","2","012","48391","","12C055","0","000000","0","","","","","","","","","2","3","","3L","0","SYSTEM","N","54","","1991","0","0","0","0","0","0","HIGHLANDS","055","","","","N","","","TRACK CAUSE OF DERAILMENT - ENGINE BURN FRACTURE RAIL.","","","","","","","","","","","","","","","","","","","","","","","",
"91","10","SOO","NA58","","","","","91","10","SOO","NA58","","","91","10","08","10","25","AM","01","0","0","0","0","NORTHERN","RIVER JCT","287.5","27","68","2","1","011","R","214","3","5483","1","Y","SIDING","2","","3","MILW","121035","048","Y","","","","","2","0","0","0","0","0","0","0","0","0","51","0","2","0","0","1","0","0","0","0","3000","32000","M405","","0","0","0","0","M405","3","2","011","35000","","27C169","0","000000","0","1","0","1","1","06","25","06","25","1","4","W","1L","0","NORTHE","E","356","","1991","0","0","0","0","0","0","WINONA","169","","","","N","","","TRAIN 214 WITH 51 LOADS, TWO EMPTIES 5,483 TONS WAS DEPARTING EASTBOUND FROM THE NEW SIDING AT RIVER","JCT WHEN THE 46TH CAR DERAILED. THE LOAD OF COAL REMAINED UPRIGHT. IT WAS DETERMINED THAT THE DERAI","LMENT OCCURRED DUE TO A COMBINATION OF FACTORS INCLUDING THE ELEVEN MILE PER HOUR SPEED OF THE TRAIN","AND TRACK IRREGULARITIES THAT PERMITTED HARMONIC ACTION.","","","","","","","","","","","","","","","","","","","","",
"91","10","UP","1091TO010","","","","","91","10","UP","1091TO010","","","91","10","26","11","0","PM","01","0","0","0","0","TEXOMA","APACHE","35.8","40","60","4","2","005","E","10CK","1","6240","1","Y","SINGLE MAIN","1","","1","UP","037319","010","Y","","","","","4","0","0","0","0","0","0","0","0","0","40","0","0","0","0","6","0","0","0","0","11560","14210","T220","","0","0","0","0","T220","1","1","005","25770","","40C015","0","000000","0","1","0","1","1","10","00","10","00","1","5","W","1L","0","TEXOMA","IO","103","","1991","0","0","0","0","0","0","CADDO","015","","","","N","","","OCKLW-26, UP 561, GOING NORTH BETWEEN MP 36 & 35 AT 5 MPH DERAILED 6 CARS OF ROCK, ACCOUNT BROKEN RA","IL.","","","","","","","","","","","","","","","","","","","","","","",
