"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"99","01","CR","901841","","","","","99","01","CR","901841","","","99","01","06","8","45","PM","01","0","0","0","0","INDIANAPOLIS","PLAINFIELD","YARD","18","18","4","6","005","E","YSAV","3","1526","7","Y","BIG FOUR 22 S.LEAD","1","","2","CR","239662","023","N","","","000","","2","0","0","0","0","0","0","0","0","0","13","0","12","0","0","0","0","1","0","0","78","8000","H312","","0","0","0","0","H312","2","1","005","8078","","18C063","0","000000","0","1","0","1","0","04","15","04","15","1","4","E","1L","","INDIAN","L","195","","1999","0","0","0","0","0","0","HENDRICKS","063","","","","N","","","PULLED 25 CARS OUT OF 22 CLASS AND DERAILED NYC 239662 DUE TO BY PASSED COUPLERS.  NYC 239662 23RD C","AR DERAILED.....NO INJURIES.....CAUSE:574 TO H312 -BY PASS  COUPLERS.....  WRECKING COST: $250.","","","","","","","","","","","","","","","","","","","","","","",
"99","01","CR","901343","","","","","99","01","CR","901343","","","99","01","17","1","58","AM","03","0","0","0","0","DEARBORN","BRYAN","337.2","39","25","4","4","008","R","TV-7","4","3906","1","Y","#1 MAIN","3","57.0","1","KCS","009063","046","Y","","","000","","1","0","0","0","0","0","0","0","0","0","48","0","0","0","0","3","0","0","0","0","3215000","90000","H204","","2","0","2","0","H204","1","3","050","3305000","","39C171","0","000000","0","1","0","1","0","01","58","01","58","1","2","E","1L","","DEARBO","A","818","","1999","0","0","0","0","0","0","WILLIAMS","171","0","00","","","","","TV-7 ON APPROACH SIGNAL SLOWING PREPARED TO STOP MAIL9 BEHIND ON #1 TRACK WESTBOUND  STRUCK REAR OF","TRAIN DEFLECTING INTO MGL-16 EASTBOUND ON TRACK #2.....FATAL TO 2 EMPLOYEES ON MAIL-9 ENGR. , CONDR.","CORELL CREW OF MAIL-9 BOTH KILLED.....  MAIL-9 CR 6096 WITH 3 ADD'L 51X0- 4966 TONS, CREW:  CONDR.","3 LOCOS  AND 10 CARS OF MAIL-9 DERAILED. MGL-16 4 ENGINES DERAILED 19 CARS, ENGR & CONDR......TV-7","ENGINE 4129 WITH 48X0- 3906 TONS, CONDR & ENGR.  MOVING WEST AT 8MPH.....TOTAL DERAILED 3 ENGINES AN","D 32 CARS IS TOTAL  OF THE 3 TRAINS INVOLVED.....WRECKING COST: $50,000. OTHER PROPERTY DAMAGE: $1,9","35,000.  NOTE: ENGINE CR 6096, MANU.: GE, MODEL: D840CW, FUEL CAP.(GALS.): 4000, APPROX QUANITY OF","FUEL SPILLED (GALS.): 2000.....CAUSE:520 TO H204 - FIXED SIGNAL FAILURE TO COMPLY.  RESULTING IN REA","R END COLLISION.....","","","","","","","","","","","","","","","",
"99","01","CR","901745","","","","","99","01","CR","901745","","","99","01","14","3","5","AM","01","0","0","0","0","ALBANY","SELKIRK","YARD","36","8","4","2","007","E","TV24","3","4500","1","Y","#4 DEPT. YARD","1","","2","TTAX","653288","024","Y","","","000","","1","0","0","0","0","0","0","0","0","0","45","0","0","0","0","2","0","0","0","0","18962","800","M101","","0","0","0","0","M101","2","1","007","19762","","36C001","0","000000","0","1","0","1","0","03","30","03","30","1","1","E","1L","","ALBANY","L","276","","1999","0","0","0","0","0","0","ALBANY","001","","","","N","","","TV24P DOUBLING HEAD 23 CARS OFF TRACK #4 DEPT. YARD TO 22 CARS OF REAR END ON #3 DEPT.  YARD, STARTE","D TO PULL TO LEAVE YARD, DERAILED 24TH - TTAX 653288 AND 25TH HEAD CAR  DTTX 72576 ON THE 3 LEAD SWI","TCH.....NO INJURIES.....CAUSE:715 TO M101 -ICE AND SNOW IN  SWITCH POINT.....","","","","","","","","","","","","","","","","","","","","","",
"99","01","CC","CC0399","","","","","99","01","BNSF","MN0199105","","","99","01","10","7","25","AM","01","0","0","0","0","SYSTEM","EAST DUBUQUE","181.8","17","6","2","1","010","R","GCHW","2","5076","1","Y","#2 MAIN","4","62.28","1","IESX","000204","012","Y","","","000","","4","0","0","0","0","0","0","0","0","0","21","0","72","0","0","6","0","0","0","0","718","0","T399","","0","0","0","0","T318","1","4","010","25718","","17C085","0","000000","0","1","","1","","07","15","07","15","2","4","","3L","","SYSTEM","KN","407","","1999","0","0","0","0","0","0","JO DAVIESS","085","","","","N","","","GCHL08 PICKED UP 21 LOACS OF COAL AT IEI & DOUBLED BACK TO TRAIN AT IEI CROSSING. AFTER TRAIN WAS TO","GETHER ON MAIN, MADE BACK UP MOVE, THREE OR FOUR CAR LENGTHS TO CLEAR SIGNAL 181.8. CREW MADE AIR TE","ST AND MOVED TRAIN WESTWARD. TRAIN WENT INTO EMERGENCY; CREW FOUND 6 CARS DERAILED AT WEST END OF SP","RING FROG. CAUSE OF DERAILMENT WAS OUTER EDGE OF WHEEL CONTACTED THE SPRING RAIL OF FROG AND ROLLED","IT OUT.","","","","","","","","","","","","","","","","","","","",
"99","01","CORP","99055","","","","","99","01","CORP","99055","","","99","01","27","12","23","AM","01","0","0","0","0","ROSEBURG","HUGO","487.0","41","30","4","1","023","R","504","1","2413","1","Y","SINGLE MAIN LINE","2","","1","CORP","817527","010","Y","CORP","817488","014","Y","4","0","0","0","0","0","0","0","0","0","14","0","9","0","0","4","0","5","0","0","116000","23500","E40C","","0","0","0","0","E40C","1","2","023","139500","","41C033","0","000000","0","1","","1","","03","23","03","23","1","8","","3L","","","J","171","","1999","0","0","0","0","0","0","JOSEPHINE","033","0","00","","N","","","NORTHBOUND MEDFORD-GLENDALE HAULER WITH 4 UNITS, 14 LOADS AND 9 EMPTIES, WHILE ASCENDING A 1.6% GRAD","E IN A CURVE, THE 11TH THROUGH 19TH CARS DERAILED.  CAUSE: RIGID TRUCK.","","","","","","","","","","","","","","","","","","","","","","",
"99","01","CR","901141","","","","","99","01","CR","901141","","","99","01","11","10","13","PM","01","0","0","0","0","PHILADELPHIA","SHIPPENSBURG","39.5","42","15","4","6","030","E","ALNS","4","9019","1","Y","LURGAN BR.SINGLE","3","10.8","1","SOU","530097","107","N","","","000","","2","0","0","0","0","0","0","0","0","0","60","0","62","0","0","0","0","1","0","0","6000","800","E09C","","0","0","0","0","E09C","1","3","030","6800","","42C041","0","000000","0","1","0","1","0","07","45","07","45","1","2","E","1L","","PHILAD","O","197","","1999","0","0","0","0","0","0","CUMBERLAND","041","","","","N","","","ALNS-1 REPORTED IN EMERGENCY, FOUND THE 107TH CAR DERAILED (DETRUCKED) CAR  SOU 530097 WEST TRUCK. N","O INJURIES.....CAUSE: 410 TO E09C -DEFECTIVE AIR BRAKE CAUSING  BUILT UP TREAD ON WEST TRUCK.....","","","","","","","","","","","","","","","","","","","","","","",
"99","01","CR","901143","","","","","99","01","CR","901143","","","99","01","18","4","15","PM","01","3","3","0","0","PHILADELPHIA","CAMDEN","YARD","34","45","2","3","004","E","YPCA","3","6730","7","Y","#15 SUPPORT YARD","1","","2","MBLX","006730","009","N","","","000","","2","0","0","0","0","0","0","0","0","0","61","0","21","0","0","2","5","0","0","0","138795","0","M503","","0","0","0","0","M503","2","1","004","138795","","34C007","0","000000","0","1","0","1","0","09","","09","","1","2","E","1L","","PHILAD","L","371","","1999","0","0","0","0","0","0","CAMDEN","007","","","","N","","","YPCA3 BRINGING WPCA11 IN THE YARD DERAILED 9, 19TH, 11TH, 12TH, 13TH, 14TH, 15TH CARS  FROM THE ENGI","NE ON THE 13 TO 17 SWITCH AT THE WEST END OF THE SUPPORT YARD.....NO  INJURIES.....CAUSE:702 TO M503","-VANDALISM TRESPASSERS THREW SWITCH UNDER MOVING TRAIN.....FOLLOWING CARS DERAILED: GATX 51099, MBL","X 34233, CITX 3810, MBLX 28083, NATX 78386,  GATX 53937, MBLX 27063.....","","","","","","","","","","","","","","","","","","","","",
"99","01","CR","901242","","","","","99","01","CR","901242","","","99","01","14","3","5","PM","12","0","0","0","0","PITTSBURGH","CONWAY","YARD","42","17","2","2","004","E","YICX","3","2200","1","Y","#14 YARD","1","","2","EMPU","287281","001","Y","","","000","","2","0","0","0","0","0","0","0","0","0","20","0","5","0","0","1","0","0","0","0","15000","0","H305","","0","0","0","0","H305","2","1","004","15000","","42C007","0","000000","0","1","0","1","0","08","","08","","1","2","E","1L","","PITTSB","L","361","","1999","0","0","0","0","0","0","BEAVER","007","","","","N","","","ENG401 MOVING DTTX 73226 EAST ON #14 TRACK WHEN DOUBLE STACK CONTAINER WEDGED UNDER  4 HUMP BRIDGE..","...4 CONTAINERS EMPU 287281, EMPU 181849, EMPU 288103, AND EMPU 282429 ALL  DAMAGED.....NO INJURIES.","....CAUSE:535 TO H305- CREW HANDLING LOADED DOUBLE STACK CAR  INSTRUCTED TO USE TRACK THAT DOES NOT","CLEAR THESE CARS.....WRECKING COST:$250. NO  TRACK DAMAGE.....","","","","","","","","","","","","","","","","","","","","",
"99","01","BRC","AF9226","","","","","99","01","BRC","AF9226","","","99","01","05","9","45","PM","04","0","0","0","0","SYSTEM","BEDFORD PARK","","17","20","4","6","005","E","CSXT","3","0","7","Y","SOUTH THROUGHFARE","2","","2","TTRX","370714","006","N","","","000","","3","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","2","0","0","8000","0","H702","","0","0","0","0","H702","2","2","005","28922","","17C031","0","000000","0","1","","1","1","05","45","05","45","1","4","","3S","","SYSTEM","L","151","","1999","0","0","0","0","0","0","COOK","031","","","","N","","","9:00PM TRANSFER ASSIGNMENT WITH THREE LITE ENGINES STRUCK CARS BEING PULLED BY ANOTHER CREW ON THE S","OUTH THROUGHFARE DUE TO AN IMPROPERLY LINED SWITCH.","","","","","","","","","","","","","","","","","","","","","","",
"99","01","BRC","AF9226","","","","","99","01","BRC","AF9226","","","99","01","05","9","45","PM","04","0","0","0","0","SYSTEM","BEDFORD PARK","","17","20","4","6","005","E","CSXT","4","0","8","Y","SOUTH THROUGHFARE","2","","2","CSXT","007068","001","","","","000","","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19000","1922","H702","","0","0","0","0","H702","2","2","005","28922","","17C031","0","000000","0","1","","1","","","45","","45","3","4","","3S","","SYSTEM","L","151","","1999","0","0","0","0","0","0","COOK","031","0","00","","N","","","9:00PM TRANSFER ASSIGNMENT WITH THREE LITE ENGINES STRUCK CARS BEING PULLED BY ANOTHER CREW ON THE S","OUTH THROUGHFARE DUE TO AN IMPROPERLY LINED SWITCH.","","","","","","","","","","","","","","","","","","","","","","",
