"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"85","08","SOU","D01545","","","","","85","08","SOU","D01545","F","","85","08","10","9","10","AM","12","0","0","0","0","COASTAL","HUBER","250.5H","13","85","2","1","006","E","42","1","650","1","Y","MAIN","3","0004.2","1","GATX","086020","001","Y","","","","","2","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","5000","0","H601","","0","0","0","0","H601","1","3","006","5000","","13C289","0","000000","0","1","1","1","2","03","10","03","10","1","3","S","1L","0","COASTA","IM","64","","1985","0","0","0","0","0","0","TWIGGS","289","00","00","","N","","","1ST HEAD CAR DAMAGED DUE TO OVERSPEED COUPLING.NOTHING DERAILED.","","","","","","","","","","","","","","","","","","","","","","","",
"85","10","NW","T031085004","","","","","85","10","NW","T031085004","F","","85","10","05","1","55","AM","03","1","1","1","0","RADFORD","SHELBY","V279.8","51","68","4","1","000","E","61TE","3","0","1","Y","SINGLE MAIN TRACK","2","0056.6","1","NW","518672","128","","","","","","2","0","0","0","0","0","0","0","0","0","125","0","0","0","1","1","0","0","0","0","19500","0","H204","","0","6","0","6","H204","1","2","012","19500","","51C121","2","000000","0","1","0","1","2","09","35","09","35","1","2","E","1L","1","RADFOR","E","66","","1985","0","6","0","0","0","0","MONTGOMERY","121","00","00","","N","","","61TER STALLED AT SHELBY AND WAS STRUCK IN THE REAR BY TRAIN 6PR78.","","","","","","","","","","","","","","","","","","","","","","","",
"85","07","BRC","AF3592","85","07","CR","0920003","85","07","BRC","AF3592","F","","85","07","20","1","0","PM","01","0","0","0","0","SYSTEM","CLEARING YARD","","17","85","2","1","000","","","","0","","","#43 EAST YARD","2","","2","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6575","T308","","0","0","0","0","T308","2","2","006","9425","","17C031","0","000000","0","","","","","","","","","1","4","","3S","0","SYSTEM","N","104","","1985","0","0","0","0","0","0","COOK","031","00","00","","N","","","CONRAIL CREW WAS DOUBLING CARS IN CLEARING YARD WHEN THE 72ND THRU 77TH CAR DERAILED DUE TO BROKEN R","AIL.","","","","","","","","","","","","","","","","","","","","","","",
"85","11","MP","85194","","","","","85","11","MP","85194","F","","85","11","23","10","35","PM","01","0","0","0","0","NEW ORLEANS","ADDIS","90.0","22","68","4","2","000","E","","","0","5","","#5 POCKET","1","","2","ACFX","086148","001","N","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8000","0","T314","","0","0","0","0","T314","2","1","005","19100","","22C121","0","000000","0","","","","","","","","","1","5","W","1L","1","NEWORL","NIM","84","","1985","0","0","0","0","0","0","WEST BATON ROUGE","121","00","00","","N","","","BROKEN SWITCH POINT CAUSED TWO CARS BEING SHOVED INTO #2 TRACK TO STRIKE ACFX 86148.","","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NE024","","","","","85","12","UP","1285NE024","","816567L","85","12","21","11","5","PM","07","0","0","0","0","NEBRASKA","MARTIN","34.6","31","29","4","1","034","E","CEPB","4","3305","1","Y","NOPLATTE SUB","3","0011.8","1","MP","005031","001","N","","","","","2","0","0","0","0","0","0","0","0","0","1","0","111","0","1","0","0","0","0","0","7200","646","M399","","1","0","1","0","M399","1","3","034","7846","","31C101","0","000000","0","1","0","1","2","02","35","02","35","1","6","W","1L","0","NEBRAS","E","82","","1985","0","0","0","0","1","0","KEITH","101","","","","N","","","CEPI-17 TRAVELING 34 MPH STRUCK BY SEMI TRUCK DRIVEN BY P.L.BRADY.MR.BRADY KILLED.","","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NE201","","","","","85","12","UP","1285NE201","F","","85","12","21","6","20","AM","01","0","0","0","0","NEBRASKA","FARR","254.2","31","18","1","1","010","E","02CE","4","3819","1","Y","DOUBLE MAIN","5","0036.7","1","WISX","000514","029","N","WISX","000514","029","N","2","0","0","0","0","0","0","0","0","0","1","0","126","0","1","0","0","2","0","0","5500","2500","E33C","","0","0","0","0","E33C","1","5","010","8000","","31C111","0","000000","0","1","0","1","2","10","35","10","35","1","6","W","1L","0","NEBRAS","G","75","","1985","0","0","0","0","0","0","LINCOLN","111","00","00","","N","","","02CEPB20 WEST DERAILED 2 CARS DUE TO DRAWBAR OUT OF WEST END 29TH HEAD CAR.","","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NE202","","","","","85","12","UP","1285NE202","F","","85","12","05","10","0","PM","06","0","0","0","0","NEBRASKA","COUNCIL BLUFFS","","19","20","4","2","002","E","CUTO","3","0","6","","NO YD 9","","","2","UP","020020","001","Y","","","","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","4000","0","H301","","0","0","0","0","H301","2","0","002","10900","","19C155","0","000000","0","","","","","","","","","1","6","W","1L","0","NEBRAS","N","56","","1985","0","0","0","0","0","0","POTTAWATTAMIE","155","00","00","","N","","","CUT OF 3 CARS KICKED IN ON CUT OF 1 CAR-4 CARS DERAILED.","","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NE202","","","","","85","12","UP","1285NE202","F","","85","12","05","10","0","PM","06","0","0","0","0","NEBRASKA","COUNCIL BLUFFS","","19","20","4","2","002","E","CUTO","3","0","7","","NO.YD 9","","","2","MP","720054","001","Y","","","","","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","5700","1200","H301","","0","0","0","0","H301","2","0","002","10900","","19C155","0","000000","0","","","","","","","","","3","6","W","1L","0","NEBRAS","NM","56","","1985","0","0","0","0","0","0","POTTAWATTAMIE","155","00","00","","N","","","CUT OF 3 CARS KICKED IN ON CUT OF 1 CAR-4 CARS DERAILED.","","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NP201","","","","","85","12","UP","1285NP201","","","85","12","29","12","1","PM","04","0","0","0","0","NEBRASKA","NORTH PLATTE","","31","24","2","1","002","E","TRIM","3","0","6","Y","TRIM 2","2","","2","TTBX","965037","038","N","","","","","1","0","0","0","0","0","0","0","0","0","59","0","32","0","0","0","0","4","0","0","34500","1700","H306","","0","0","0","0","H306","2","2","002","47990","","31C111","0","000000","0","1","0","1","2","04","16","04","16","1","6","","1L","0","NEBRAS","N","200","","1985","0","0","0","0","0","0","LINCOLN","111","","","","N","","","ENG KAEHLER AND CREW TRIMMING NPPTA-RA-29 MOVING EAST AT APPROXIMATELY 2 MPH WAS SIDESWIPED BY BK-29","TRIMMER WITH ENG. RIVERA & CREW MOVING EAST ON TRIM 1 AT APPROXIMATELY 2 MPH ENTERED EAST CROSSOVER","","","","","","","","","","","","","","","","","","","","","","",
"85","12","UP","1285NP201","","","","","85","12","UP","1285NP201","","","85","12","29","12","1","PM","04","0","0","0","0","NEBRASKA","NORTH PLATTE","","31","24","2","1","002","E","TRIM","3","0","6","Y","TRIM 1","2","","2","UP","003048","001","Y","","","","","1","0","0","0","0","1","0","0","0","0","26","0","4","0","0","2","0","0","0","0","11790","0","H306","","0","0","0","0","H306","2","2","002","47990","","31C111","0","000000","0","1","0","1","2","04","16","04","16","3","6","","1L","0","NEBRAS","N","16","","1985","0","0","0","0","0","0","LINCOLN","111","","","","N","","","SEE OTHER REPORT","","","","","","","","","","","","","","","","","","","","","","","",
